CustID,AgentBonus,Age,CustTenure,ExistingProdType,NumberOfPolicy,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,PaymentMethod,LastMonthCalls,CustCareScore,Agent,Online,Third Party Partner,Free Lancer,Large Business,Salaried,Small Business,Diploma,Engineer,Graduate,MBA,Post Graduate,UG,Under Graduate,Female,Male,AVP,Exe,Executive,Manager,Senior Manager,VP,Divorced,Married,Single,Unmarried,East,North,South,West
7000041,2405,2.0,2.0,4,2.0,17177.0,0,7.0,619999.6992670636,4,0,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
7000042,3779,11.0,23.0,3,2.0,17177.0,0,2.0,619999.6992670636,3,8,4.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
7000043,3896,4.0,16.0,3,2.0,22918.0,0,6.0,599993.0,3,1,3.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7000044,3806,15.0,11.0,3,3.0,23789.0,0,5.0,738411.0,3,8,5.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
7000045,4347,14.494707127734651,4.0,4,2.0,17389.0,1,3.0,434725.0,4,1,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
7000046,2003,10.0,14.469026548672566,4,2.0,18212.0,0,6.0,368611.0,4,2,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
7000047,4450,27.0,9.0,3,2.0,34232.0,0,4.130073800738008,756527.0,3,15,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
7000048,3971,16.0,24.0,3,3.0,17267.0,0,4.0,424941.0,3,2,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000049,7594,23.0,30.0,3,2.0,34517.0,0,4.130073800738008,1306123.0,3,6,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
7000050,2790,14.494707127734651,17.0,3,2.0,17436.0,1,4.0,488208.0,3,4,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000051,6213,37.0,31.0,3,2.0,22890.30999066293,1,3.0,776600.0,3,9,3.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7000052,2125,14.494707127734651,4.0,3,5.0,17707.0,0,1.0,303852.0,3,7,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000053,5451,33.0,27.0,4,3.0,34068.0,1,4.130073800738008,566892.0,4,12,2.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
7000054,3218,19.0,10.0,3,4.0,18931.0,0,3.0,482741.0,3,2,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000055,2060,8.0,2.0,4,3.0,18730.0,1,2.0,245176.0,4,2,5.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7000056,3102,12.0,3.0,3,3.0,17232.0,0,1.0,619999.6992670636,3,2,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
7000057,1947,12.0,10.0,3,2.0,19465.0,0,6.0,210222.0,3,2,4.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000058,2530,15.0,14.469026548672566,3,5.0,18072.0,0,1.0,361801.0,3,0,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000059,3847,8.0,14.469026548672566,3,2.0,18319.0,0,4.0,453945.0,3,7,3.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
7000060,3420,14.0,10.0,2,2.0,34202.0,0,4.130073800738008,420685.0,2,7,4.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7000061,5162,10.0,31.0,3,3.0,28675.0,0,8.0,727772.0,3,2,4.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
7000062,2687,5.0,14.469026548672566,4,2.0,17911.0,0,1.0,292845.0,4,2,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7000063,4820,19.0,24.0,4,5.0,20957.0,0,8.0,882080.0,4,9,4.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000064,4541,14.0,9.0,4,5.0,18920.0,0,5.0,476784.0,4,2,4.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000065,3858,15.0,12.0,2,3.0,21434.0,0,1.0,598009.0,2,2,2.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000066,6262,13.0,38.0,3,3.0,25048.0,0,6.0,845370.0,3,0,3.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
7000067,2853,17.0,3.0,3,3.0,25938.0,0,3.0,524985.0,3,8,2.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
7000068,1907,14.494707127734651,2.0,3,2.0,17340.0,0,1.0,223166.0,3,5,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
7000069,2370,12.0,2.0,2,5.0,21545.0,1,4.0,421851.0,2,2,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7000070,2632,5.0,3.0,3,2.0,21931.0,0,2.0,494763.0,3,2,2.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000071,2587,10.0,10.0,3,3.0,19898.0,0,1.0,271608.0,3,2,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000072,1759,14.494707127734651,4.0,4,5.0,17593.0,1,3.0,299081.0,4,8,4.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
7000073,3788,19.0,8.0,3,3.0,34436.0,0,4.130073800738008,458343.0,3,9,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
7000074,1950,14.494707127734651,4.0,3,2.0,17723.0,0,1.0,384057.0,3,0,4.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7000075,2587,5.0,14.469026548672566,4,4.0,18479.0,0,1.0,463084.0,4,4,3.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7000076,4093,25.0,14.469026548672566,2,4.0,17794.0,0,1.0,781690.0,2,3,2.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7000077,3037,15.0,15.0,4,2.0,20249.0,0,9.0,419154.0,4,5,5.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000078,3092,19.0,3.0,4,5.0,17176.0,0,4.0,619999.6992670636,4,4,4.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
7000079,3187,13.0,16.0,5,4.0,22890.30999066293,1,5.0,382464.0,4,7,5.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7000080,4621,14.0,14.469026548672566,3,3.0,18485.0,0,1.0,573035.0,3,0,4.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7000081,5411,22.0,22.0,4,4.0,21644.0,0,1.0,1001035.0,4,0,4.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000082,5146,21.0,5.0,4,2.0,20582.0,0,6.0,926190.0,4,8,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000083,3610,11.0,4.0,2,5.0,19000.0,0,4.0,527060.0,2,5,5.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000084,4844,15.0,15.0,3,2.0,28496.0,1,2.0,949487.0,3,10,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7000085,4188,4.0,14.469026548672566,3,2.0,18210.0,0,1.0,603115.0,3,11,5.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000086,7490,15.0,15.0,3,5.0,34045.0,1,4.130073800738008,1303243.0,3,13,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
7000087,5907,24.0,12.0,3,4.0,26849.0,1,2.0,590678.0,3,9,3.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7000088,1878,2.0,2.0,3,2.0,17070.0,0,1.0,619999.6992670636,3,4,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
7000089,3870,12.0,8.0,3,2.0,21502.0,0,1.0,696665.0,3,1,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000090,4375,26.0,14.469026548672566,4,3.0,18230.0,0,8.0,791911.0,4,0,5.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7000091,3432,17.0,17.0,3,2.0,28603.0,1,1.0,422180.0,3,2,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
7000092,3779,15.0,4.0,2,4.0,26996.0,0,6.0,733211.0,2,2,5.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
7000093,2473,5.0,2.0,2,5.0,20605.0,1,4.0,316493.0,2,7,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000094,3210,10.0,6.0,3,4.0,21397.0,0,8.0,436499.0,3,4,5.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000095,5804,29.0,29.0,3,4.0,34144.0,0,4.130073800738008,1073829.0,3,6,5.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
7000096,7820,47.0,39.0,3,3.56536312849162,32584.0,1,4.130073800738008,1008801.0,3,3,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True
7000097,4977,30.0,30.0,3,3.0,19907.0,0,12.0,950559.0,3,6,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000098,2542,13.0,5.0,3,2.0,19554.0,0,3.0,480442.0,3,9,2.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7000099,5104,31.0,26.0,3,2.0,20415.0,1,6.0,617554.0,3,8,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000100,4738,28.0,28.0,3,5.0,19741.0,1,5.0,578016.0,3,3,3.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000101,2054,10.0,2.0,3,2.0,17115.0,0,5.0,619999.6992670636,3,7,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
7000102,2906,3.0,14.469026548672566,3,3.0,18161.0,1,3.0,581152.0,3,0,5.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
7000103,3734,7.0,19.0,3,2.0,20745.0,0,2.0,642265.0,3,2,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000104,2606,14.494707127734651,3.0,3,4.0,17373.0,1,2.0,315320.0,3,2,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
7000105,2197,4.0,14.469026548672566,3,2.0,18310.0,0,5.0,437243.0,3,2,4.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7000106,7070,28.0,28.0,3,5.0,33665.0,1,4.130073800738008,1145283.0,3,2,3.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
7000107,4676,9.0,5.0,3,4.0,19485.0,0,7.0,832399.0,3,7,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
7000108,2668,8.0,14.469026548672566,3,4.0,17789.0,0,4.0,384242.0,3,2,3.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
7000109,2499,2.0,5.0,4,2.0,20828.0,1,5.0,347411.0,4,4,2.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
7000110,2426,14.494707127734651,7.0,3,2.0,17326.0,1,3.0,349292.0,3,2,2.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000111,3994,20.0,24.0,3,4.0,28525.0,0,5.0,443279.0,3,8,3.0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
7000112,3448,3.0,10.0,3,3.0,16420.0,0,2.0,619999.6992670636,3,0,3.067591763652641,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
7000113,4834,24.0,10.0,3,4.0,23020.0,0,4.0,536596.0,3,9,2.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
7000114,3924,8.0,24.0,2,2.0,18688.0,0,6.0,651464.0,2,0,5.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000115,4096,4.0,25.0,5,4.0,20482.0,0,1.0,462893.0,4,2,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000116,4032,20.0,24.0,3,4.0,22890.30999066293,0,3.0,528185.0,3,4,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True
7000117,3888,16.0,19.0,4,3.0,16200.0,0,12.0,524880.0,4,0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7000118,3512,14.0,7.0,2,5.0,20661.0,0,4.0,600615.0,2,7,5.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
7000119,4605,23.0,5.0,2,2.0,21929.0,0,2.0,497350.0,2,7,2.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000120,6153,6.0,31.0,2,2.0,24613.0,0,2.0,664551.0,2,7,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
7000121,2894,12.0,14.0,3,4.0,20674.0,0,1.0,512302.0,3,8,3.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
7000122,3482,3.0,14.0,4,3.0,20484.0,0,1.0,508413.0,4,8,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
7000123,6495,6.0,13.0,4,4.0,27061.0,0,8.0,1058626.0,4,1,3.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
7000124,2066,6.0,6.0,5,3.0,20660.0,1,2.0,365682.0,4,2,2.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
7000125,4361,17.0,17.0,3,2.0,19821.0,1,9.0,671535.0,3,3,4.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7000126,4282,26.0,13.0,4,5.0,21410.0,0,5.0,736504.0,4,0,3.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
