CustID,AgentBonus,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,Zone,PaymentMethod,LastMonthCalls,CustCareScore
7000016,1930,12,4,Third Party Partner,Laarge Business,Engineer,Male,4,Manager,5,Divorced,19298,0,2,245085,West,Yearly,0,3
7000017,2180,9,11,Online,Salaried,Graduate,Male,3,Manager,2,Married,21804,1,1,287813,North,Half Yearly,7,2
7000018,2258,5,5,Third Party Partner,Small Business,UG,Male,3,Executive,3,Married,18815,1,1,392857,West,Half Yearly,0,3
7000019,4258,,21,Agent,Small Business,UG,Male,3,Manager,2,Divorced,17741,1,3,847310,West,Half Yearly,7,2
7000020,3034,12,18,Agent,Small Business,Under Graduate,Male,3,Manager,5,Divorced,21673,1,1,324662,North,Half Yearly,0,3
7000021,4981,5,25,Agent,Small Business,Diploma,Female,3,Senior Manager,2,Divorced,22639,0,1,826776,West,Half Yearly,9,3
7000022,3466,,3,Agent,Salaried,Graduate,Male,2,Executive,4,Married,17328,1,1,374285,West,Quarterly,2,4
7000023,3431,7,14,Third Party Partner,Small Business,Under Graduate,Female,3,Exe,2,Unmarried,17153,0,2,,North,Half Yearly,7,3
7000024,4969,30,25,Online,Salaried,Graduate,Male,4,Manager,2,Divorced,19876,0,4,954048,North,Yearly,2,5
7000025,3903,20,8,Agent,Small Business,Under Graduate,Male,3,Senior Manager,5,Married,24396,0,5,640151,North,Half Yearly,3,2
7000026,3556,14,21,Agent,Small Business,Under Graduate,Male,5,Senior Manager,2,Divorced,25400,0,4,540512,West,Yearly,8,2
7000027,3756,8,15,Online,Salaried,Graduate,Male,4,Senior Manager,3,Single,23474,0,6,386852,West,Yearly,8,5
7000028,2998,12,3,Third Party Partner,Salaried,Graduate,Female,3,Manager,3,Single,24981,0,1,599544,West,Half Yearly,7,2
7000029,5223,26,31,Agent,Salaried,Graduate,Male,4,Senior Manager,4,Divorced,27490,0,2,851365,West,Yearly,7,3
7000030,4414,,9,Agent,Large Business,Engineer,Fe male,3,Executive,5,Unmarried,17657,1,4,560610,West,Half Yearly,4,4
7000031,6576,7,26,Agent,Salaried,Graduate,Female,3,Senior Manager,2,Single,28591,1,16,749656,North,Half Yearly,0,2
7000032,4122,16,16,Third Party Partner,Small Business,Diploma,Female,4,Manager,5,Single,21696,0,2,783226,West,Yearly,1,2
7000033,2729,8,5,Agent,Large Business,Engineer,Male,3,Exe,3,Unmarried,17058,0,2,,West,Half Yearly,5,2
7000034,2625,13,8,Online,Small Business,Under Graduate,Female,4,Senior Manager,2,Single,23865,0,2,393773,West,Yearly,8,4
7000035,5235,5,10,Agent,Small Business,Diploma,Female,3,Manager,5,Divorced,20940,0,13,738135,West,Half Yearly,5,4
7000036,2928,18,6,Agent,Salaried,Graduate,Male,3,Manager,4,Single,20914,0,4,494825,North,Half Yearly,7,2
7000037,2291,,2,Agent,Small Business,UG,Fe male,4,Executive,4,Divorced,17622,0,2,341338,West,Yearly,1,4
7000038,6524,7,20,Third Party Partner,Salaried,Post Graduate,Male,3,Senior Manager,2,Married,27185,1,13,1246160,West,Half Yearly,7,3
7000039,5122,5,26,Agent,Salaried,Graduate,Male,3,Senior Manager,3,Married,25609,0,2,793879,North,Half Yearly,13,2
7000040,2708,16,14,Online,Small Business,UG,Male,5,Manager,3,Divorced,19345,0,1,365621,West,Yearly,4,3
7000041,2405,2,2,Agent,Salaried,Graduate,Male,4,Exe,2,Divorced,17177,0,7,,North,Yearly,0,3
7000042,3779,11,23,Third Party Partner,Small Business,Diploma,Male,3,Exe,2,Married,17177,0,2,,West,Half Yearly,8,4
7000043,3896,4,16,Third Party Partner,Small Business,Under Graduate,Female,3,Senior Manager,2,Divorced,22918,0,6,599993,West,Half Yearly,1,3
7000044,3806,15,11,Third Party Partner,Small Business,Diploma,Female,3,Senior Manager,3,Single,23789,0,5,738411,North,Half Yearly,8,5
7000045,4347,,4,Agent,Small Business,Under Graduate,Male,4,Executive,2,Unmarried,17389,1,3,434725,West,Yearly,1,3
7000046,2003,10,,Agent,Salaried,Graduate,Fe male,4,Executive,2,Single,18212,0,6,368611,West,Yearly,2,3
7000047,4450,27,9,Agent,Large Business,Engineer,Male,3,VP,2,Divorced,34232,0,,756527,West,Half Yearly,15,2
7000048,3971,16,24,Agent,Small Business,Under Graduate,Male,3,Executive,3,Divorced,17267,0,4,424941,West,Half Yearly,2,4
7000049,7594,23,30,Agent,Small Business,Under Graduate,Female,3,VP,2,Married,34517,0,,1306123,North,Half Yearly,6,2
7000050,2790,,17,Agent,Small Business,Under Graduate,Male,3,Executive,2,Divorced,17436,1,4,488208,West,Half Yearly,4,2
7000051,6213,37,31,Agent,Small Business,Diploma,Female,3,AVP,2,Divorced,,1,3,776600,North,Half Yearly,9,3
7000052,2125,,4,Agent,Salaried,Graduate,Fe male,3,Executive,5,Divorced,17707,0,1,303852,West,Half Yearly,7,3
7000053,5451,33,27,Online,Salaried,Graduate,Male,4,VP,3,Single,34068,1,,566892,North,Yearly,12,2
7000054,3218,19,10,Agent,Salaried,Graduate,Fe male,3,Executive,4,Divorced,18931,0,3,482741,West,Half Yearly,2,3
7000055,2060,8,2,Agent,Salaried,Graduate,Male,4,Executive,3,Single,18730,1,2,245176,North,Yearly,2,5
7000056,3102,12,3,Agent,Small Business,Under Graduate,Female,3,Exe,3,Married,17232,0,1,,North,Half Yearly,2,3
7000057,1947,12,10,Online,Small Business,Diploma,Male,3,Manager,2,Divorced,19465,0,6,210222,North,Half Yearly,2,4
7000058,2530,15,,Agent,Salaried,Graduate,Male,3,Manager,5,Married,18072,0,1,361801,West,Half Yearly,0,2
7000059,3847,8,,Agent,Large Business,Engineer,Male,3,Manager,2,Married,18319,0,4,453945,North,Half Yearly,7,3
7000060,3420,14,10,Agent,Salaried,Post Graduate,Male,2,VP,2,Divorced,34202,0,,420685,North,Quarterly,7,4
7000061,5162,10,31,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3,Married,28675,0,8,727772,North,Half Yearly,2,4
7000062,2687,5,,Agent,Salaried,Graduate,Fe male,4,Executive,2,Divorced,17911,0,1,292845,North,Yearly,2,2
7000063,4820,19,24,Agent,Salaried,Graduate,Male,4,Manager,5,Divorced,20957,0,8,882080,West,Yearly,9,4
7000064,4541,14,9,Agent,Small Business,UG,Fe male,4,Executive,5,Divorced,18920,0,5,476784,West,Yearly,2,4
7000065,3858,15,12,Third Party Partner,Salaried,Graduate,Male,2,Manager,3,Divorced,21434,0,1,598009,North,Quarterly,2,2
7000066,6262,13,38,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3,Married,25048,0,6,845370,North,Half Yearly,0,3
7000067,2853,17,3,Third Party Partner,Large Business,Engineer,Female,3,Senior Manager,3,Single,25938,0,3,524985,North,Half Yearly,8,2
7000068,1907,,2,Agent,Salaried,Graduate,Male,3,Executive,2,Unmarried,17340,0,1,223166,West,Half Yearly,5,3
7000069,2370,12,2,Agent,Salaried,Graduate,Female,2,Manager,5,Single,21545,1,4,421851,West,Quarterly,2,2
7000070,2632,5,3,Agent,Small Business,Diploma,Male,3,Manager,2,Married,21931,0,2,494763,West,Half Yearly,2,2
7000071,2587,10,10,Agent,Salaried,Graduate,Fe male,3,Manager,3,Divorced,19898,0,1,271608,North,Half Yearly,2,3
7000072,1759,,4,Agent,Small Business,UG,Fe male,4,Executive,5,Married,17593,1,3,299081,West,Yearly,8,4
7000073,3788,19,8,Agent,Small Business,Under Graduate,Male,3,VP,3,Married,34436,0,,458343,West,Half Yearly,9,5
7000074,1950,,4,Agent,Salaried,Graduate,Male,3,Executive,2,Divorced,17723,0,1,384057,North,Half Yearly,0,4
7000075,2587,5,,Third Party Partner,Small Business,UG,Male,4,Executive,4,Single,18479,0,1,463084,North,Yearly,4,3
7000076,4093,25,,Third Party Partner,Salaried,Graduate,Male,2,Executive,4,Divorced,17794,0,1,781690,North,Quarterly,3,2
7000077,3037,15,15,Online,Salaried,Graduate,Male,4,Manager,2,Divorced,20249,0,9,419154,West,Yearly,5,5
7000078,3092,19,3,Agent,Large Business,Engineer,Male,4,Manager,5,Unmarried,17176,0,4,,West,Yearly,4,4
7000079,3187,13,16,Agent,Large Business,Engineer,Female,5,AVP,4,Divorced,,1,5,382464,North,Yearly,7,5
7000080,4621,14,,Agent,Salaried,Graduate,Male,3,Executive,3,Single,18485,0,1,573035,North,Half Yearly,0,4
7000081,5411,22,22,Agent,Small Business,Under Graduate,Male,4,Manager,4,Divorced,21644,0,1,1001035,North,Yearly,0,4
7000082,5146,21,5,Agent,Small Business,Under Graduate,Male,4,Manager,2,Divorced,20582,0,6,926190,North,Yearly,8,3
7000083,3610,11,4,Online,Salaried,Graduate,Male,2,Manager,5,Married,19000,0,4,527060,West,Quarterly,5,5
7000084,4844,15,15,Agent,Small Business,Under Graduate,Male,3,AVP,2,Divorced,28496,1,2,949487,North,Half Yearly,10,3
7000085,4188,4,,Agent,Salaried,Graduate,Male,3,Executive,2,Divorced,18210,0,1,603115,West,Half Yearly,11,5
7000086,7490,15,15,Agent,Small Business,Under Graduate,Male,3,VP,5,Single,34045,1,,1303243,West,Half Yearly,13,2
7000087,5907,24,12,Online,Salaried,Graduate,Male,3,Senior Manager,4,Divorced,26849,1,2,590678,West,Half Yearly,9,3
7000088,1878,2,2,Agent,Small Business,Under Graduate,Male,3,Exe,2,Divorced,17070,0,1,,North,Half Yearly,4,2
7000089,3870,12,8,Agent,Small Business,Under Graduate,Male,3,Manager,2,Divorced,21502,0,1,696665,North,Half Yearly,1,3
7000090,4375,26,,Agent,Small Business,UG,Male,4,Executive,3,Single,18230,0,8,791911,North,Yearly,0,5
7000091,3432,17,17,Online,Small Business,Under Graduate,Female,3,Senior Manager,2,Married,28603,1,1,422180,East,Half Yearly,2,3
7000092,3779,15,4,Agent,Salaried,Graduate,Female,2,Senior Manager,4,Married,26996,0,6,733211,North,Quarterly,2,5
7000093,2473,5,2,Agent,Small Business,Under Graduate,Female,2,Manager,5,Married,20605,1,4,316493,West,Quarterly,7,3
7000094,3210,10,6,Third Party Partner,Salaried,Graduate,Female,3,Manager,4,Married,21397,0,8,436499,West,Half Yearly,4,5
7000095,5804,29,29,Agent,Salaried,Graduate,Male,3,VP,4,Married,34144,0,,1073829,North,Half Yearly,6,5
7000096,7820,47,39,Agent,Small Business,Under Graduate,Male,3,AVP,,Divorced,32584,1,,1008801,West,Half Yearly,3,5
7000097,4977,30,30,Agent,Salaried,Graduate,Male,3,Manager,3,Divorced,19907,0,12,950559,West,Half Yearly,6,3
7000098,2542,13,5,Third Party Partner,Salaried,Graduate,Male,3,Manager,2,Single,19554,0,3,480442,West,Half Yearly,9,2
7000099,5104,31,26,Agent,Laarge Business,Engineer,Male,3,Manager,2,Divorced,20415,1,6,617554,West,Half Yearly,8,2
7000100,4738,28,28,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,5,Divorced,19741,1,5,578016,West,Half Yearly,3,3
7000101,2054,10,2,Agent,Salaried,Graduate,Female,3,Exe,2,Unmarried,17115,0,5,,West,Half Yearly,7,2
7000102,2906,3,,Third Party Partner,Salaried,Graduate,Male,3,Executive,3,Married,18161,1,3,581152,West,Half Yearly,0,5
7000103,3734,7,19,Agent,Salaried,Graduate,Male,3,Manager,2,Married,20745,0,2,642265,West,Half Yearly,2,3
7000104,2606,,3,Agent,Small Business,Under Graduate,Male,3,Executive,4,Married,17373,1,2,315320,West,Half Yearly,2,2
7000105,2197,4,,Agent,Salaried,Graduate,Fe male,3,Executive,2,Single,18310,0,5,437243,North,Half Yearly,2,4
7000106,7070,28,28,Third Party Partner,Salaried,Graduate,Female,3,VP,5,Single,33665,1,,1145283,West,Half Yearly,2,3
7000107,4676,9,5,Agent,Laarge Business,Engineer,Male,3,Manager,4,Single,19485,0,7,832399,East,Half Yearly,7,2
7000108,2668,8,,Third Party Partner,Small Business,Diploma,Fe male,3,Executive,4,Married,17789,0,4,384242,West,Half Yearly,2,3
7000109,2499,2,5,Agent,Small Business,Diploma,Male,4,Manager,2,Single,20828,1,5,347411,West,Yearly,4,2
7000110,2426,,7,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,2,Divorced,17326,1,3,349292,West,Half Yearly,2,2
7000111,3994,20,24,Third Party Partner,Small Business,Diploma,Female,3,AVP,4,Divorced,28525,0,5,443279,North,Half Yearly,8,3
7000112,3448,3,10,Agent,Salaried,Graduate,Male,3,Executive,3,Single,16420,0,2,,West,Half Yearly,0,
7000113,4834,24,10,Agent,Small Business,Diploma,Male,3,Senior Manager,4,Divorced,23020,0,4,536596,North,Half Yearly,9,2
7000114,3924,8,24,Third Party Partner,Salaried,Graduate,Male,2,Executive,2,Divorced,18688,0,6,651464,West,Quarterly,0,5
7000115,4096,4,25,Agent,Small Business,Under Graduate,Male,5,Manager,4,Married,20482,0,1,462893,West,Yearly,2,2
7000116,4032,20,24,Agent,Salaried,Graduate,Male,3,AVP,4,Single,,0,3,528185,West,Half Yearly,4,3
7000117,3888,16,19,Agent,Small Business,Under Graduate,Female,4,Executive,3,Single,16200,0,12,524880,North,Yearly,0,2
7000118,3512,14,7,Agent,Small Business,Under Graduate,Male,2,Manager,5,Single,20661,0,4,600615,North,Quarterly,7,5
7000119,4605,23,5,Agent,Laarge Business,Engineer,Male,2,Manager,2,Divorced,21929,0,2,497350,North,Quarterly,7,2
7000120,6153,6,31,Agent,Small Business,Under Graduate,Male,2,Senior Manager,2,Married,24613,0,2,664551,West,Quarterly,7,3
7000121,2894,12,14,Online,Salaried,Graduate,Female,3,Manager,4,Divorced,20674,0,1,512302,West,Half Yearly,8,3
7000122,3482,3,14,Agent,Salaried,Graduate,Male,4,Manager,3,Divorced,20484,0,1,508413,North,Yearly,8,3
7000123,6495,6,13,Agent,Salaried,Graduate,Female,4,Senior Manager,4,Divorced,27061,0,8,1058626,West,Yearly,1,3
7000124,2066,6,6,Online,Salaried,Graduate,Male,5,Manager,3,Married,20660,1,2,365682,West,Yearly,2,2
7000125,4361,17,17,Agent,Laarge Business,Engineer,Male,3,Executive,2,Divorced,19821,1,9,671535,West,Half Yearly,3,4
7000126,4282,26,13,Agent,Salaried,MBA,Male,4,Manager,5,Divorced,21410,0,5,736504,North,Yearly,0,3
7000127,4648,9,28,Third Party Partner,Salaried,Graduate,Male,3,Senior Manager,5,Married,20210,0,6,804156,North,Half Yearly,11,2
7000128,2831,,8,Agent,Salaried,Graduate,Male,3,Executive,2,Married,17695,1,1,311432,West,Half Yearly,2,4
7000129,4838,10,10,Third Party Partner,Salaried,Graduate,Female,3,Senior Manager,4,Divorced,26878,0,1,759572,North,Half Yearly,8,3
7000130,7696,46,23,Agent,Small Business,Under Graduate,Male,3,AVP,5,Divorced,,1,3,892773,West,Half Yearly,10,3
7000131,2793,,17,Third Party Partner,Salaried,Graduate,Female,3,Executive,2,Unmarried,17455,0,6,293244,West,Half Yearly,7,5
7000132,7241,29,43,Agent,Large Business,Engineer,Female,4,AVP,3,Single,28964,1,9,1180283,West,Yearly,7,3
7000133,3390,3,20,Agent,Small Business,Under Graduate,Male,4,Manager,4,Divorced,19941,0,1,400016,West,Yearly,7,2
7000134,4370,,22,Agent,Salaried,Graduate,Female,3,Executive,4,Unmarried,17478,1,7,524340,West,Half Yearly,2,3
7000135,3439,10,17,Agent,Laarge Business,Engineer,Female,4,Manager,4,Divorced,20228,1,1,457355,North,Yearly,9,2
7000136,4480,4,4,Agent,Salaried,Graduate,Male,3,Manager,3,Single,19478,1,1,730230,North,Half Yearly,4,4
7000137,3157,3,3,Agent,Small Business,Diploma,Male,3,Manager,2,Married,22547,0,3,404042,North,Half Yearly,7,2
7000138,3610,7,18,Agent,Small Business,Under Graduate,Fe male,2,Manager,2,Single,20055,0,4,415139,North,Quarterly,7,3
7000139,1846,4,,Agent,Small Business,UG,Male,5,Executive,2,Divorced,18464,1,4,204950,West,Yearly,2,3
7000140,2909,17,3,Agent,Small Business,Under Graduate,Female,3,Manager,2,Divorced,20775,0,3,421733,North,Half Yearly,9,3
7000141,5986,18,12,Third Party Partner,Salaried,Graduate,Female,4,Senior Manager,3,Divorced,23943,0,2,676390,West,Yearly,9,2
7000142,7197,14,36,Third Party Partner,Small Business,Under Graduate,Male,4,VP,2,Divorced,34272,0,,1115554,West,Yearly,3,5
7000143,5060,25,30,Agent,Small Business,Under Graduate,Female,3,Manager,3,Divorced,20238,1,3,814580,West,Half Yearly,0,4
7000144,4133,25,4,Third Party Partner,Small Business,Diploma,Male,4,Manager,2,Single,19682,0,4,731580,West,Yearly,1,3
7000145,5328,16,21,Agent,Salaried,Graduate,Male,3,VP,3,Divorced,33300,0,,900432,West,Half Yearly,1,2
7000146,2836,9,3,Third Party Partner,Salaried,Graduate,Female,4,Manager,3,Married,20257,0,4,320466,West,Yearly,0,3
7000147,2562,5,10,Online,Small Business,Diploma,Male,3,Manager,4,Divorced,21349,1,2,274121,North,Half Yearly,4,2
7000148,2782,14,6,Third Party Partner,Salaried,Graduate,Fe male,3,Manager,3,Single,19869,0,4,358834,West,Half Yearly,3,4
7000149,6246,6,6,Agent,Salaried,Graduate,Female,3,Senior Manager,5,Divorced,24985,0,1,1136818,West,Half Yearly,0,5
7000150,3365,7,10,Agent,Salaried,Post Graduate,Male,3,Manager,2,Divorced,18697,0,6,565397,North,Half Yearly,8,3
7000151,2470,2,7,Agent,Small Business,Under Graduate,Male,5,Manager,2,Divorced,22457,1,2,466881,West,Yearly,2,3
7000152,1883,9,4,Agent,Salaried,Post Graduate,Male,5,Exe,5,Divorced,17119,1,1,,North,Yearly,7,3
7000153,1898,6,8,Agent,Salaried,Post Graduate,Male,4,Executive,2,Single,18983,0,1,349287,East,Yearly,2,2
7000154,2112,8,8,Agent,Small Business,Diploma,Female,4,Manager,3,Married,21118,0,6,392795,East,Yearly,2,2
7000155,3182,6,6,Agent,Small Business,Diploma,Female,3,Manager,4,Divorced,21214,0,1,502772,West,Half Yearly,7,2
7000156,2989,3,15,Agent,Small Business,Under Graduate,Male,3,Manager,2,Married,21347,0,4,540933,North,Half Yearly,4,3
7000157,4507,5,14,Agent,Salaried,Graduate,Male,4,Senior Manager,2,Married,26510,1,1,680512,North,Yearly,9,5
7000158,3543,21,7,Agent,Small Business,Under Graduate,Female,3,Senior Manager,2,Single,22143,1,1,662519,West,Half Yearly,10,4
7000159,2559,10,10,Agent,Small Business,Diploma,Female,4,Manager,4,Married,23268,1,8,493980,West,Yearly,7,5
7000160,5312,27,27,Agent,Large Business,Engineer,Male,3,Senior Manager,4,Single,23095,0,3,547121,North,Half Yearly,13,3
7000161,3581,18,,Agent,Salaried,Graduate,Male,3,Executive,2,Married,17904,0,2,716160,West,Half Yearly,2,2
7000162,3996,20,20,Agent,Small Business,Under Graduate,Male,4,Manager,4,Single,21032,1,2,523486,North,Yearly,2,3
7000163,3595,22,,Third Party Partner,Small Business,UG,Male,3,Manager,3,Single,17976,0,1,478162,West,Half Yearly,0,4
7000164,4029,8,12,Agent,Salaried,Graduate,Female,3,AVP,2,Single,,0,2,789676,West,Half Yearly,0,3
7000165,1965,6,8,Online,Salaried,Graduate,Male,3,Manager,3,Divorced,19649,0,3,335998,North,Half Yearly,2,2
7000166,1770,,4,Agent,Large Business,Engineer,Male,3,Executive,3,Married,17696,1,1,205274,West,Half Yearly,0,4
7000167,1737,,3,Agent,Small Business,Under Graduate,Female,3,Executive,4,Divorced,17370,0,1,213651,North,Half Yearly,7,4
7000168,3300,7,3,Agent,Small Business,Under Graduate,Female,3,Senior Manager,3,Divorced,27504,0,3,438964,North,Half Yearly,0,4
7000169,3356,17,17,Agent,Small Business,Under Graduate,Male,2,Manager,5,Married,20974,1,3,570493,West,Quarterly,7,3
7000170,4145,12,4,Online,Laarge Business,Engineer,Fe male,3,Manager,3,Divorced,19736,1,2,617539,West,Half Yearly,2,3
7000171,3653,18,22,Agent,Salaried,Graduate,Male,3,Manager,3,Divorced,20296,0,1,617404,West,Half Yearly,7,5
7000172,5227,5,26,Agent,Salaried,Post Graduate,Male,4,Manager,2,Single,21781,0,6,778889,North,Yearly,0,2
7000173,3435,17,3,Third Party Partner,Large Business,Engineer,Female,4,Exe,4,Unmarried,17174,1,2,,West,Yearly,2,5
7000174,4980,15,15,Online,Small Business,Under Graduate,Female,3,Manager,2,Single,21653,0,5,761969,West,Half Yearly,0,2
7000175,4940,30,30,Third Party Partner,Small Business,Under Graduate,Male,4,Senior Manager,2,Divorced,24699,0,5,958321,West,Yearly,12,2
7000176,5439,5,27,Agent,Small Business,Under Graduate,Male,3,Manager,3,Divorced,21755,0,7,843006,West,Half Yearly,2,3
7000177,2754,11,17,Agent,Salaried,Graduate,Female,2,Exe,3,Divorced,17213,1,1,,West,Quarterly,7,3
7000178,4226,,4,Online,Small Business,UG,Male,3,Executive,2,Unmarried,17610,0,1,621281,West,Half Yearly,2,4
7000179,1785,4,,Agent,Small Business,Diploma,Fe male,3,Executive,3,Unmarried,17851,1,1,207072,West,Half Yearly,0,2
7000180,2583,10,,Agent,Small Business,UG,Fe male,3,Executive,5,Divorced,18452,0,1,268661,North,Half Yearly,3,2
7000181,2431,10,5,Online,Small Business,Under Graduate,Female,3,Manager,3,Divorced,20258,0,1,457020,East,Half Yearly,0,5
7000182,5115,26,20,Third Party Partner,Small Business,Diploma,Male,3,Manager,4,Single,24355,0,4,521684,West,Half Yearly,7,3
7000183,3824,23,19,Agent,Large Business,Engineer,Male,4,Senior Manager,2,Single,25496,0,5,413035,North,Yearly,3,5
7000184,3848,12,8,Agent,Small Business,Diploma,Male,4,Manager,3,Divorced,21380,1,8,519534,North,Yearly,0,3
7000185,2472,,7,Agent,Salaried,Graduate,Male,4,Executive,4,Unmarried,17657,1,4,375741,West,Yearly,2,3
7000186,3543,,7,Agent,Salaried,Graduate,Fe male,2,Executive,4,Unmarried,17716,0,6,460616,West,Quarterly,0,5
7000187,4128,25,21,Agent,Salaried,Graduate,Male,3,Exe,2,Unmarried,17201,0,1,,West,Half Yearly,2,3
7000188,2154,13,4,Agent,Salaried,Graduate,Male,4,Manager,4,Single,21540,0,4,383412,North,Yearly,0,2
7000189,1882,2,4,Agent,Small Business,UG,Male,3,Executive,4,Married,18816,0,1,233318,West,Half Yearly,4,3
7000190,4861,15,24,Agent,Salaried,Graduate,Male,3,Manager,2,Single,20253,0,15,836044,North,Half Yearly,7,3
7000191,5453,5,11,Agent,Salaried,Post Graduate,Male,4,Senior Manager,3,Single,25965,0,7,785182,West,Yearly,0,2
7000192,3788,8,8,Agent,Salaried,Graduate,Fe male,3,Manager,2,Divorced,19936,0,1,613630,West,Half Yearly,7,3
7000193,3333,,7,Agent,Salaried,Graduate,Female,3,Executive,3,Divorced,17543,0,2,473310,North,Half Yearly,2,5
7000194,3046,18,12,Online,Small Business,Diploma,Male,2,Manager,2,Single,20304,1,2,429430,North,Quarterly,4,2
7000195,6648,40,40,Agent,Salaried,Graduate,Female,3,AVP,2,Single,,1,5,684784,North,Half Yearly,2,5
7000196,1926,2,12,Agent,Small Business,Diploma,Fe male,3,Manager,3,Married,19260,1,1,285048,North,Half Yearly,3,2
7000197,2272,,7,Agent,Large Business,Engineer,Male,3,Executive,4,Divorced,17476,0,1,290801,North,Half Yearly,0,3
7000198,2534,13,,Third Party Partner,Large Business,Engineer,Male,3,Executive,5,Single,18102,0,5,304114,North,Half Yearly,4,3
7000199,1897,11,6,Agent,Small Business,Under Graduate,Female,3,Exe,4,Divorced,17244,0,1,223827,West,Half Yearly,2,2
7000200,4067,8,4,Agent,Small Business,Under Graduate,Male,4,Senior Manager,3,Divorced,22596,0,2,683303,North,Yearly,0,2
7000201,4148,21,17,Third Party Partner,Large Business,Engineer,Male,3,Executive,2,Unmarried,17285,1,10,418988,West,Half Yearly,0,4
7000202,3246,13,,Agent,Salaried,Graduate,Fe male,3,Executive,5,Married,18034,0,10,532364,North,Half Yearly,17,4
7000203,5179,21,26,Agent,Small Business,Diploma,Female,3,Manager,4,Married,20715,0,1,528233,West,Half Yearly,3,2
7000204,1933,,2,Agent,Salaried,Graduate,Fe male,3,Executive,5,Married,17576,0,1,309338,North,Half Yearly,2,3
7000205,4799,10,24,Agent,Salaried,Graduate,Male,3,Manager,4,Single,19197,1,1,940653,West,Half Yearly,1,5
7000206,3227,13,3,Agent,Salaried,Graduate,Male,4,AVP,4,Married,,0,1,393689,West,Yearly,9,3
7000207,3874,8,,Agent,Small Business,UG,Fe male,4,Manager,3,Divorced,18448,0,6,577238,North,Yearly,0,5
7000208,3785,8,8,Agent,Small Business,Under Graduate,Male,3,VP,5,Divorced,34406,0,,484436,West,Half Yearly,2,4
7000209,2585,10,16,Online,Small Business,Diploma,Female,3,Manager,3,Divorced,21538,0,1,333408,North,Half Yearly,2,2
7000210,3475,21,10,Agent,Small Business,UG,Fe male,3,Manager,5,Divorced,19306,0,1,441335,West,Half Yearly,12,2
7000211,4315,26,22,Third Party Partner,Small Business,Under Graduate,Male,3,Exe,2,Divorced,17258,0,4,815441,North,Half Yearly,2,4
7000212,4881,29,20,Agent,Salaried,Post Graduate,Fe male,3,Manager,3,Married,19522,1,5,858968,North,Half Yearly,2,2
7000213,2923,6,3,Agent,Salaried,Graduate,Fe male,4,Manager,2,Single,19487,1,4,485226,West,Yearly,3,2
7000214,4279,4,13,Online,Small Business,UG,Fe male,3,Manager,3,Divorced,19449,1,4,817247,North,Half Yearly,7,3
